"","GSM2544275","GSM2544276","GSM2544277","GSM2544278","GSM2544279","GSM2544280","GSM2544281","GSM2544282","GSM2544283","GSM2544284","GSM2544285","GSM2544286","GSM2544287","GSM2544288","GSM2544289","GSM2544290","GSM2544291","GSM2544292","GSM2544293","GSM2544294","GSM2544295","GSM2544296","GSM2544297","GSM2544298","GSM2544299","GSM2544300","GSM2544301","GSM2544302","GSM2544303","GSM2544304","GSM2544305","GSM2544306","GSM2544307","GSM2544308","GSM2544309","GSM2544310","GSM2544311","GSM2544312","GSM2544313","GSM2544314","GSM2544315","GSM2544316","GSM2544317","GSM2544318","GSM2544319","GSM2544320","GSM2544321","GSM2544322","GSM2544323","GSM2544324","GSM2544325","GSM2544326","GSM2544327","GSM2544328","GSM2544329","GSM2544330","GSM2544331","GSM2544332","GSM2544333","GSM2544334","GSM2544335"
"EPS15L1",8.34081,8.66802,8.25626,8.41924,8.5869,8.4246,8.34398,8.46539,8.34269,8.5144,8.47982,8.20797,8.5902,8.6384,8.60386,8.31823,8.30104,9.01536,8.19424,8.10511,8.23351,7.96708,8.49945,8.55656,8.04015,8.61318,8.18744,8.70565,8.32614,7.991,8.1487,8.14347,8.22795,8.1042,7.93758,8.11578,8.36229,8.51164,8.25648,7.85748,8.32712,8.42792,8.82927,8.84792,8.68208,8.69722,8.80779,8.69172,8.75933,8.59372,8.6283,9.29773,8.67512,8.38499,8.69897,9.05792,8.76659,9.16965,8.58811,8.717,8.85975
"EPS15P1",3.26759,3.09533,3.35182,3.05719,3.95842,3.05798,3.10542,3.40718,3.43048,3.69332,3.43802,3.01229,3.47803,3.30737,3.29102,3.46593,3.37397,3.35069,3.38443,3.40656,3.27982,3.11774,3.09974,3.0468,3.63103,3.21418,3.31421,3.50165,3.0419,3.13016,3.39489,2.96429,2.87395,3.13162,3.15776,3.53126,2.85371,3.12563,3.23315,3.01827,3.58531,3.4246,3.52894,3.49805,3.74011,3.92201,3.56306,3.72568,3.40839,3.35469,3.73878,3.1141,2.97625,3.37456,3.45889,3.32529,3.58705,3.49744,3.09174,3.18211,3.3027
"EPS8",8.68911,7.9748,7.99386,8.97014,7.97172,8.04753,8.65783,7.59473,7.53933,8.78012,7.80745,7.58765,8.41797,8.71774,8.08825,8.81756,8.16584,8.93978,9.95482,8.00504,10.351,9.48547,8.96659,9.05503,8.66202,9.17146,9.82744,8.84176,8.16267,8.85327,9.97046,9.97017,9.32965,8.81231,10.7213,8.25641,9.82868,9.13807,8.42636,9.5276,8.51113,8.65914,8.82662,8.73889,8.86502,9.43746,8.83191,8.02993,8.34352,9.25593,7.8874,7.72227,9.39906,9.05236,8.0605,7.75503,8.48604,8.90599,8.27878,8.84564,8.31711
"EPS8L1",4.188,4.15671,4.17354,4.1466,4.12815,4.08965,4.11457,4.24377,4.22222,4.09359,4.13274,4.16425,4.2061,4.11307,4.15541,4.1133,4.05534,4.02606,4.30357,4.10794,4.17661,4.22442,4.14878,4.07039,4.31148,4.15023,4.25094,4.21194,4.09158,4.18609,4.15152,4.19133,4.35482,4.41786,4.24576,4.33531,4.25738,4.13075,4.12149,4.15023,4.17383,4.17594,4.10534,4.13012,4.11364,4.03545,4.11615,4.02594,4.0727,4.09597,4.25319,4.19473,4.40413,4.12798,4.00862,4.1491,4.15023,4.15023,4.1949,4.06764,3.96369
"EPS8L2",4.84567,4.741,4.79081,4.92913,4.8082,4.78669,4.8914,4.54431,4.70409,5.2285,4.77395,4.82044,5.16991,4.8779,5.01477,4.6825,4.76104,4.77824,4.80257,4.60346,4.93063,4.63723,4.90264,5.04407,4.74131,5.05056,5.04097,5.00422,4.98382,4.56056,4.99055,4.87397,4.77633,4.65228,5.23251,4.72278,4.93676,4.62784,4.66426,4.64806,4.8051,5.10551,5.24603,5.11411,5.41312,5.01618,5.38894,5.08464,4.98462,5.54935,5.13269,4.93103,5.42515,5.0093,4.94084,4.8489,5.18307,5.19319,5.10865,5.22011,5.18149
"EPS8L3",3.66524,3.57622,3.57702,3.64128,3.63636,3.57091,3.63625,3.68428,3.75,3.56907,3.6567,3.80719,3.76739,3.6591,3.79605,3.63105,3.6818,3.56839,3.80319,3.86086,3.74245,3.79617,3.69632,3.6567,3.73045,3.53766,3.73318,3.53429,3.83335,3.60866,3.66961,3.6477,3.58761,3.69166,3.6567,3.76437,3.56311,3.56615,3.67484,3.74155,3.66689,3.6567,3.6567,3.5546,3.6314,3.6567,3.5355,3.74352,3.62839,3.60816,3.66196,3.65023,3.70883,3.62749,3.65918,3.65792,3.51847,3.54667,3.64447,3.61928,3.71748
"EPSTI1",10.3849,7.69747,7.57981,7.50899,8.21424,7.68184,7.50945,7.62563,7.44544,7.96091,8.09552,10.198,7.98252,7.55481,7.69958,7.66351,7.18216,8.04264,7.92673,7.71946,7.36841,7.79882,8.40434,8.94236,8.05253,7.30007,7.90623,7.39374,7.79192,8.52483,7.2547,7.83591,7.88721,7.44281,8.21025,7.94959,8.0496,8.54739,8.66547,7.77257,7.45039,6.85616,7.83588,7.568,7.62018,8.37821,7.52195,7.19538,7.52904,7.78938,7.34933,8.23567,7.16023,7.62652,7.27399,7.42789,7.61826,7.75035,7.63486,7.61254,7.81767
"EPT1",6.44606,6.24786,6.31206,6.58053,6.07512,6.34004,6.6482,6.34642,6.4346,6.56742,6.36463,6.32708,5.95314,5.92737,5.96748,6.47294,6.84418,6.1357,5.75284,6.72003,6.42615,6.31002,6.62586,6.01934,5.99105,6.18619,6.37234,6.14574,6.104,6.61826,5.6039,6.53084,6.42615,6.39215,6.64561,6.55861,6.46485,6.64286,6.52921,6.72347,6.30426,6.50112,5.98583,6.70266,6.4438,6.43905,6.2851,6.86695,6.67744,6.49929,6.84424,6.37162,6.52673,6.93842,6.58498,6.42615,6.74289,6.38069,6.17854,7.00168,6.57548
"EPX",3.2727,3.27564,3.34869,3.11599,3.21088,3.21229,3.22715,3.26689,3.30394,3.25384,3.13422,3.41459,3.33171,3.26268,3.27067,3.27088,3.2608,3.28277,3.55152,3.24935,3.15547,3.32219,3.22641,3.32014,3.30551,3.26957,3.25057,3.26268,3.36188,3.16627,3.1521,3.28457,3.24181,3.21194,3.15729,3.27974,3.23306,3.21544,3.07861,3.36247,3.40678,3.34304,3.30898,3.24504,3.22835,3.26914,3.18096,3.45113,3.33044,3.14657,3.28553,3.2949,3.32371,3.39868,3.36277,3.24244,3.13985,3.26967,3.26268,3.23599,3.13121
"EPYC",3.17972,2.97183,3.0178,3.09843,3.42716,2.81877,3.221,3.3813,3.05694,2.87654,3.25104,3.5375,3.23942,2.96034,3.12412,3.06477,3.07712,3.27226,3.68752,3.14241,3.19704,3.16461,3.29707,3.1076,3.44708,2.96167,3.45958,2.84645,3.3487,3.12961,3.33303,3.21733,2.88056,3.36154,3.21877,3.33841,3.21938,3.11047,2.96518,3.16764,3.18589,3.38999,3.43812,3.074,2.99898,3.2345,3.15825,3.38179,3.1192,3.44232,3.49773,3.12934,2.92246,2.98142,3.82439,3.51877,3.06294,3.1661,3.05169,3.27447,3.3453
