"","GSM2544275","GSM2544276","GSM2544277","GSM2544278","GSM2544279","GSM2544280","GSM2544281","GSM2544282","GSM2544283","GSM2544284","GSM2544285","GSM2544286","GSM2544287","GSM2544288","GSM2544289","GSM2544290","GSM2544291","GSM2544292","GSM2544293","GSM2544294","GSM2544295","GSM2544296","GSM2544297","GSM2544298","GSM2544299","GSM2544300","GSM2544301","GSM2544302","GSM2544303","GSM2544304","GSM2544305","GSM2544306","GSM2544307","GSM2544308","GSM2544309","GSM2544310","GSM2544311","GSM2544312","GSM2544313","GSM2544314","GSM2544315","GSM2544316","GSM2544317","GSM2544318","GSM2544319","GSM2544320","GSM2544321","GSM2544322","GSM2544323","GSM2544324","GSM2544325","GSM2544326","GSM2544327","GSM2544328","GSM2544329","GSM2544330","GSM2544331","GSM2544332","GSM2544333","GSM2544334","GSM2544335"
"---",4.94623193485325,4.92262686999709,4.94896273426149,4.89290516154598,4.96625218740919,4.97345122553034,4.92993793834042,5.00677293583071,5.0358665762291,4.92689988825192,5.02918236969329,4.97088885161018,4.94670240562175,4.94848084088447,4.91072514516683,4.99462896626423,4.95275344041423,5.01662982801892,4.99560360024305,5.0573272266399,4.97198410588329,5.02144938023406,4.97282168705255,4.87605976435157,5.02398619633847,4.86404097508784,4.93992042189523,4.90749329405859,4.96629849893007,5.03492688584789,4.98002740390458,4.95487007291364,4.94651510633239,5.00350156711489,5.01803994003117,5.03057800227195,4.96700310966106,4.96221775975484,4.99494554724857,4.99937443822154,4.96762392782606,4.8817555900457,4.89262895464032,4.86357661215756,4.89012632261644,4.90619365017304,4.89077389480358,4.89696713074261,4.86891558291285,4.82144025361266,4.90069936464745,4.84564377063905,4.95022774390405,4.85082787942831,4.87291091511901,4.89374892241038,4.84996781549679,4.84632162919716,4.86533153594167,4.86428075212004,4.9423963833778
"A1BG",4.70993,4.87877,4.44676,4.97774,5.07315,4.73658,5.01586,4.74531,4.78373,4.64185,4.71529,4.45535,4.72674,4.54306,4.7511,4.76761,4.68337,4.81819,4.70563,4.93647,4.7311,4.70948,4.70258,4.70756,4.83499,4.72013,4.76868,4.84645,4.67857,4.70441,4.54284,4.71602,4.74711,4.74183,4.40037,5.11945,4.86856,4.49802,4.56475,4.8322,4.90341,4.80039,4.68452,4.49429,4.84025,4.65046,4.71031,4.95574,4.7035,4.64297,4.55639,4.71106,4.56469,4.73686,4.78202,4.71727,4.86108,4.91639,4.77586,4.77317,4.63809
"A1BG-AS1",3.58468,4.05482,3.67422,3.99354,3.96676,3.66706,3.73445,3.79461,3.61982,3.84887,3.48113,3.71372,3.97783,3.53675,3.9008,3.93952,3.68544,3.91324,4.15519,4.01986,3.69395,3.49301,3.73666,3.62618,3.71198,3.79285,3.82126,3.84494,3.91119,3.75912,3.5444,3.51352,3.5682,3.48596,3.60474,3.57339,3.60074,3.7629,3.56302,3.67836,3.64759,3.72833,3.97126,3.80848,3.70287,3.59566,3.88947,4.10044,3.74667,3.75772,3.41277,3.79703,3.84573,3.54552,3.79798,3.99812,3.89423,3.82951,3.72102,3.91752,4.01348
"A1CF",5.19993,3.80528,5.28725,6.44209,4.54504,4.83596,5.84376,3.91549,4.7092,6.52693,4.99977,4.72199,5.20057,5.6939,4.9099,4.04266,4.84682,5.86504,3.97116,4.74618,6.26232,4.36548,6.30141,5.31298,4.3045,5.24811,4.90285,4.65056,4.67315,3.70863,5.51937,4.4212,4.57361,3.82904,6.31467,3.9148,4.1076,4.50282,4.93741,4.55421,5.73943,6.08941,5.88945,6.87425,7.47349,7.62443,7.44769,6.96179,5.95236,7.41569,5.83767,4.42609,6.68143,6.15737,6.41809,5.75716,5.96949,6.78433,6.34531,7.25749,6.4827
"A2M",14.9058,15.0791,15.0347,14.4606,14.2874,14.9797,14.953,15.1121,15.0277,14.3154,15.0191,15.036,14.0184,15.4121,14.8702,15.4032,15.0097,15.5477,15.8608,14.8943,15.4405,15.3131,14.8634,15.084,15.6092,14.8456,15.2538,14.6714,14.6272,16.1636,15.6564,15.1435,15.2778,15.9818,15.4388,15.1893,15.789,16.0253,15.2599,16.2367,14.745,14.8586,15.5788,14.7995,14.7407,14.7725,15.029,14.7938,14.8816,15.0845,14.9136,15.2573,14.5597,14.472,14.4615,15.5843,14.5245,14.954,14.9105,15.3951,14.4394
"A2M-AS1",4.46298,4.29599,5.20698,5.21104,4.91402,4.83949,5.04815,4.3488,4.6819,4.57488,4.61779,4.53581,4.88649,4.74053,4.56366,5.05245,4.75595,4.67453,4.51569,4.68834,4.5968,4.77366,4.56346,5.07438,4.63629,4.50486,4.73433,4.77902,4.75792,4.77076,5.16817,4.81669,4.77141,4.14538,4.76079,4.48983,5.34686,4.6,4.68324,4.35113,4.66893,4.47542,5.02054,4.71579,4.8785,4.74371,4.61916,4.47265,4.13853,4.39682,5.15802,4.75042,3.96919,4.34839,4.65678,4.72594,5.05774,4.71544,5.15399,4.53,4.59055
"A2ML1",3.21316,2.95058,2.97402,3.05884,3.04276,2.96264,2.98881,2.99862,3.14494,3.05884,3.10744,3.21238,3.16122,2.99419,3.16767,3.06167,2.9844,2.99995,3.13842,3.09019,3.00713,3.14717,3.04473,3.05884,3.36658,3.05884,3.11647,2.93005,3.26207,2.9844,2.99465,3.04998,2.88636,2.99913,3.05884,3.16715,3.03824,3.02219,3.05884,3.05884,3.06731,3.00017,3.0534,2.9659,2.99655,3.18921,3.08218,3.18097,3.07058,3.00443,3.15648,3.08304,3.2433,3.05884,3.05884,3.02809,2.99696,3.05884,3.05884,3.04912,3.12541
"A2ML1-AS1",5.34754,4.58819,4.76052,5.17426,4.63609,5.39332,4.59348,5.09295,4.85093,5.30744,5.43386,4.85001,5.37144,4.95141,4.66551,4.77983,5.00447,4.82736,5.02589,5.0601,4.97458,4.84387,4.73567,5.25513,4.88922,4.44606,4.90294,4.67073,4.58548,5.06169,4.71424,5.20685,4.79193,4.7361,3.83135,4.91023,4.59574,5.2748,4.9353,4.59276,4.57323,5.1673,5.28853,4.77501,5.19816,5.19447,4.72834,5.77871,4.24307,4.71338,5.35428,4.42602,4.83968,5.23935,4.66915,5.25274,4.56196,4.84816,4.62625,4.74019,4.81018
"A2ML1-AS2",5.68391,5.35806,5.62554,5.53202,5.68652,5.5715,5.59368,5.60486,5.8224,5.63952,5.68913,5.67477,5.65997,5.62463,5.55888,5.63857,5.55762,5.72812,5.66515,6.12464,5.64037,5.60525,5.59906,5.48608,5.7001,5.59992,5.60329,5.42228,5.61927,5.91918,5.82022,5.66617,5.72246,5.7645,5.76918,5.66602,5.65168,5.70665,5.68977,5.58457,5.47459,5.54141,5.4595,5.68395,5.61146,5.65614,5.51556,5.69537,5.43684,5.3552,5.55749,5.50015,5.59048,5.48503,5.66365,5.60951,5.41378,5.47503,5.42995,5.52058,5.59965
"A2MP1",3.13159,3.0491,3.11284,3.16747,3.55455,3.25299,3.15433,3.294475,3.03035,3.08132,3.34196,3.266155,3.1336,3.04118,3.19936,3.186035,2.989665,3.187095,3.38851,3.37941,3.192885,3.32226,3.555705,3.22856,3.61492,3.07921,3.085735,3.11559,3.396835,3.15902,3.310135,3.264625,3.22033,3.307125,3.137305,3.23492,3.224165,3.30724,3.236565,3.15353,3.18994,3.32498,3.230955,3.05624,3.19076,3.28856,3.36208,3.638335,3.14537,3.081375,3.429565,3.331015,3.34472,3.220035,3.26621,3.390105,3.29198,3.13188,3.169885,2.96381,3.549685
"A4GALT",4.92766,4.99992,4.84055,4.78266,5.10414,4.76131,4.78987,4.76427,4.90362,4.93605,4.81782,4.84534,5.00138,4.90394,4.85539,4.94516,5.12061,4.99064,4.44488,4.70291,4.5852,4.8296,4.99492,5.36938,4.71898,5.17903,4.8436,4.92766,5.1945,4.65363,4.90533,4.80887,4.80212,4.73691,4.83145,4.83956,4.86387,5.04447,4.80994,4.85173,4.95212,4.8462,4.9527,5.05432,5.09202,4.68904,5.12454,5.32435,5.19725,4.82473,4.89157,4.92766,4.92766,5.01703,5.27192,5.00875,4.9645,5.07204,5.2989,5.22614,5.02538
"A4GNT",3.34509,3.04606,3.43806,3.1236,2.8871,2.76038,3.07762,2.99134,3.01005,3.46578,2.5926,2.9083,3.11254,3.00973,3.38875,2.72378,3.36195,2.9707,3.22806,3.29867,2.59555,2.76827,2.78695,3.15788,3.26731,3.06295,2.9588,3.14483,4.11082,3.0058,3.4776,3.04485,3.1088,3.09831,3.01951,3.10339,2.91463,2.643,3.3311,3.04111,3.57065,3.1087,3.24386,3.11634,3.00886,3.0084,3.10208,2.99055,2.88037,2.88693,2.74383,2.97537,3.50381,2.67552,3.21687,2.83227,2.90764,3.03007,2.69504,3.13652,3.06243
"AA06",3.07294,3.0874,2.96648,2.75976,3.21281,2.86553,3.32172,2.77489,2.98365,2.65949,3.12382,2.93798,2.84774,2.95095,3.00028,2.95309,3.2007,3.04295,3.01879,2.90515,3.06089,3.37502,2.97289,2.92635,2.81482,2.68063,3.10956,3.09627,3.00118,2.99092,2.77265,3.21974,2.63576,2.85853,2.79194,3.40109,3.0967,2.87985,2.77655,2.78043,3.04308,3.22717,3.24504,2.77097,2.85872,3.29779,2.79986,3.35864,2.82878,2.82236,2.83797,3.04111,3.04113,3.17884,2.70936,2.70987,3.19588,3.15237,3.00712,2.77997,3.19339
"AAAS",8.72058,8.1458,8.56266,8.20435,8.6479,8.37205,8.77782,7.99215,8.45421,8.51545,8.5193,8.31793,8.1729,8.39408,8.46566,8.5378,8.47297,8.32669,7.83732,9.29714,8.24182,8.39939,8.14148,8.33743,8.50435,8.76084,8.43635,8.54104,8.1959,8.50907,8.30284,9.02576,8.45817,8.51874,8.41508,8.16587,8.74093,8.15924,8.06623,8.30232,8.74685,8.88423,8.54071,8.77852,8.54495,8.98175,8.83212,8.57606,8.54612,8.56164,8.62535,8.13694,8.42253,8.53181,9.17474,8.89941,8.78763,9.03364,8.82681,9.2141,8.95632
"AACS",4.92938,4.88383,5.39327,5.04094,5.22435,5.07083,5.15954,5.319,5.07396,5.14093,5.06501,5.14093,5.08563,5.14093,5.14093,5.04521,5.40731,5.14093,4.99292,5.02069,5.10603,5.14184,5.1684,5.29303,4.80553,5.09416,5.11277,5.31347,4.93609,5.11056,5.0036,5.09668,5.29482,5.32319,5.28272,5.14093,5.16915,5.21084,4.98877,5.01724,5.0509,5.00215,5.12706,5.26392,5.27716,5.58742,5.26018,4.93649,5.16572,5.19435,5.26472,5.20878,4.91427,5.1336,5.20489,5.33601,5.19296,5.46119,5.44445,5.07486,4.77783
"AACSP1",2.93164,2.84473,2.89244,2.85371,2.88275,2.82492,2.87708,2.99133,2.88198,2.97194,3.02561,2.91782,2.92453,2.87671,2.90002,2.86657,3.08387,2.95348,3.05889,2.81404,3.00046,3.07136,2.882,2.97227,3.17856,2.94305,2.9227,2.80824,2.89223,2.87166,2.89928,3.08766,2.86867,2.92537,3.09367,2.95152,2.87184,3.15511,2.91649,2.9436,2.89919,2.97004,2.97016,2.84785,3.05219,2.9167,3.00659,2.9535,2.78644,2.92658,2.99567,2.84755,3.26741,2.91523,2.92657,2.91983,2.92096,3.06928,2.99003,3.04673,2.91957
"AADAC",2.89379,2.78819,2.67164,2.86352,3.26235,2.73871,3.03437,3.03001,3.25375,2.99988,2.72537,3.42732,2.82371,2.82472,3.28391,2.79854,2.87342,2.97857,3.0244,3.00037,2.93138,2.85891,2.90307,2.97414,2.98134,3.13181,3.46004,2.75311,3.15506,2.90619,3.23885,2.94187,2.84483,2.7277,2.87122,2.73149,3.01423,2.68386,3.18105,3.17712,2.90529,2.92288,2.7687,3.20833,3.20352,2.96981,3.25931,3.04149,3.03769,2.98291,2.86918,2.96528,3.21089,3.11159,3.20021,2.86847,3.06655,2.86914,2.65905,3.0273,2.79975
"AADACL2",3.5144,3.28254,3.17423,3.09631,3.28728,3.23041,3.11069,3.0092,3.42595,3.00981,3.23904,3.15367,3.20631,3.0061,3.2478,3.14409,3.21874,2.97276,3.50931,3.21363,3.11035,3.63442,3.29729,3.07977,4.00408,3.34599,3.50788,3.18745,3.24041,3.09292,3.44705,3.42226,3.18826,3.35857,3.29593,3.34842,3.50899,3.34124,3.44892,3.46996,3.10107,3.53506,3.13519,3.29235,2.91512,3.43125,3.36319,3.33629,3.46503,3.25807,3.54488,3.34804,3.36647,3.34675,3.52469,3.36284,3.2721,3.31943,3.12657,3.22383,3.37586
"AADACL3",2.68297,2.79169,2.74799,2.71164,2.98033,2.81983,2.78649,2.76188,3.01173,2.90021,2.71022,2.71148,2.92961,3.00606,2.90452,2.78731,2.7629,2.79314,2.80166,2.6805,2.82979,2.70633,2.93761,2.72005,2.73985,3.05754,2.86295,2.929,2.67603,2.80949,2.63057,2.67033,2.66338,2.80949,2.9415,2.82226,2.75935,2.80594,2.79731,2.81822,2.75524,2.80949,3.06752,2.7542,3.15772,2.88183,2.81479,2.80949,2.96479,2.89156,2.84502,2.86917,2.82328,2.72535,2.83692,2.74966,2.83571,2.80949,2.80949,2.83352,3.10993
"AADACL4",2.71002,4.12454,3.54436,3.59473,4.43485,4.38401,3.91045,3.07837,3.21084,3.49112,3.12985,4.6038,3.71763,3.17368,3.22831,2.91862,3.67316,3.35278,2.93629,3.45308,3.29592,2.96114,4.11743,3.24622,3.14848,2.88518,3.1044,3.21258,4.15808,3.14928,2.83349,3.03345,2.79112,3.40013,3.02843,3.16006,2.95226,3.43311,2.77823,3.05247,3.45093,4.31857,3.71035,4.18716,3.25161,2.81707,3.18001,4.75489,3.51746,3.08203,3.92717,3.95155,3.11758,3.39271,5.17003,4.64166,4.4558,4.84204,3.70623,3.39672,4.07323
"AADAT",5.25429,5.19769,5.40482,5.86676,5.39088,5.32125,5.54104,4.98832,5.15915,5.6262,5.18075,5.13431,5.53422,5.35908,5.41273,5.05305,4.94957,5.26525,5.39664,5.28242,5.24542,5.15659,5.03404,5.29034,4.78715,5.21487,5.3575,5.25429,5.29594,5.14328,4.7654,5.20547,5.39829,4.89879,5.15292,5.31896,5.01034,5.01458,5.40916,4.97719,5.40248,5.2655,5.50978,5.33227,5.29381,5.58307,5.18738,4.92675,5.39051,5.66432,5.6326,5.11004,5.25429,5.31201,5.04732,5.23666,5.05076,5.70769,5.22659,5.41599,5.33973
"AAED1",6.10321,6.30169,6.48389,6.38591,6.54368,6.50937,6.12346,6.55733,5.81572,6.37077,6.40816,6.51908,6.52671,6.27994,6.40804,6.13498,6.44241,6.05675,6.25112,6.01067,6.30747,5.98503,6.18572,6.46081,6.20219,6.36462,6.27507,6.39741,6.35851,6.17486,5.76788,6.20321,6.27994,6.19554,6.09433,6.23566,6.60519,6.41692,6.04074,6.1616,6.11791,6.17636,6.43956,6.38984,6.19164,5.87244,6.62267,6.85808,6.40302,6.2122,6.27994,6.39616,6.16267,6.39404,6.54949,6.44643,6.57542,6.22272,6.11725,6.13492,6.72408
"AAGAB",6.77064,7.25048,7.2844,6.99866,6.8823,6.8792,6.6619,7.13972,7.06746,6.82639,6.81197,6.97506,7.19982,6.8326,7.02184,6.87117,7.13348,6.72672,6.83679,7.11124,6.67949,6.60475,6.73186,6.9433,6.67605,7.43439,6.48177,7.0711,7.23901,6.93252,6.64545,6.44936,6.6254,6.83597,6.27059,6.58169,6.8326,6.65302,6.29416,6.62464,6.73501,6.86524,6.78198,7.05916,6.68141,7.02343,6.87586,6.63042,6.93544,6.74827,6.80995,6.95199,6.50603,6.99082,6.79146,7.17456,6.68467,6.8326,6.7275,6.75965,6.66579
"AAK1",7.29095,7.59383,7.57138,7.38124,7.13425,7.31447,7.42778,7.257,7.1827,7.30558,7.47679,7.44169,7.24773,7.28386,7.25956,7.59979,7.38003,7.50798,7.55863,7.54171,7.98527,7.55261,7.42778,7.49414,7.78482,7.34074,7.75194,7.23435,7.15064,7.63645,8.14126,7.71494,7.75682,7.70685,7.91057,7.44489,7.44182,7.74351,7.11589,7.79095,7.43284,7.44522,7.39242,7.52165,7.43901,7.4521,7.42778,6.97667,7.29001,7.46184,7.29726,7.03367,7.43752,7.34524,7.28114,7.42778,7.14539,7.50205,7.39165,7.13614,6.87872
"AAMDC",5.88136,6.29596,6.32608,6.22157,6.236,6.40728,6.23018,6.42429,6.53927,6.29737,6.20586,6.1894,6.22152,6.18248,5.88231,6.22042,6.28627,6.37853,5.99474,6.50459,5.98668,5.99769,5.9949,6.12848,6.05285,6.22042,5.94549,5.96656,5.86946,6.28346,6.09733,6.15932,6.2409,6.17266,6.2159,6.15461,6.30191,6.43245,6.2629,6.1918,6.36315,6.20532,6.1314,6.22042,6.24547,6.23586,6.2186,6.37257,6.25521,6.2311,6.19596,6.13206,6.11039,6.29939,6.32046,6.26931,6.38892,6.16623,6.23165,6.23149,6.23186
"AAMP",5.14121,5.28201,5.14506,5.3134,5.15945,4.95325,5.29247,5.18072,5.02177,5.30304,5.08483,5.19408,5.10641,5.07274,5.27977,5.13123,5.09509,5.27418,5.31118,5.09739,5.28279,5.17391,5.32221,5.16068,4.99792,5.13849,5.30882,5.24377,5.21707,4.94378,5.1208,5.22227,5.07362,5.17741,5.23422,5.17893,5.18008,5.11602,5.06572,5.21548,5.23016,5.26812,5.50761,5.57668,5.29964,5.27557,5.41057,5.71673,5.64698,5.84103,5.55322,5.37387,5.23059,5.63402,5.56897,5.47087,5.59137,5.54645,5.60836,5.50288,5.67278
"AANAT",3.76536,3.74831,3.6766,3.57907,3.81606,3.82321,3.5813,3.8682,3.96636,3.73674,3.81242,3.90853,4.05275,3.77285,3.80825,3.83392,3.63603,3.89319,3.83956,3.75982,3.77118,3.93218,3.76952,3.83145,3.91262,3.75352,3.97271,3.7751,3.82834,3.76496,3.77013,3.61111,3.69434,3.99573,3.80863,3.74063,3.50226,3.65476,3.7382,3.83583,3.81906,3.70699,3.63706,3.88591,3.68657,3.73411,3.88028,3.83086,3.8027,3.67369,3.78842,3.70586,3.79888,3.85165,3.86238,3.72102,3.72423,3.72794,3.77703,3.69359,3.7871
"AAR2",5.36605,5.20647,5.16576,5.20833,5.34405,5.07687,5.10662,5.20424,5.00389,5.37904,4.91903,5.19936,5.16223,4.99852,5.18025,4.99206,5.0572,4.96126,5.04042,4.76829,4.99056,5.14913,5.22752,5.64465,5.06667,5.03827,4.94659,5.38762,5.1461,4.80596,5.00725,4.83186,4.95782,5.03378,5.0662,5.10838,5.23106,5.28765,4.95329,5.21951,5.17419,5.26037,5.37673,5.72054,5.1986,5.1947,5.53454,5.29103,5.3815,5.3052,5.12522,5.38853,4.95241,5.4359,5.2533,5.55681,5.72509,5.45597,5.38333,5.21706,4.96976
"AARD",4.64238,4.26532,4.63678,4.79915,4.45643,4.56187,4.58985,4.56428,4.65212,4.58974,4.50527,4.77792,4.60656,4.55297,4.73151,4.50638,4.4909,4.56187,4.51486,4.56062,4.71968,4.75532,4.51424,4.56428,4.61042,4.37289,4.56187,4.53682,4.57319,4.53682,4.38402,4.66946,4.65996,4.70332,4.67014,4.50306,4.45906,4.58881,4.51959,4.43748,4.78816,4.55179,4.56965,4.48675,4.56187,4.4498,4.52849,4.45902,4.63408,4.56187,4.56674,4.49426,4.59505,4.62299,4.37351,4.4094,4.56187,4.56656,4.32181,4.52418,4.22376
"AARS",9.80725,9.6572,9.33523,10.0539,9.24316,9.6539,9.75148,9.17246,8.8647,9.01034,9.11965,9.35096,8.72517,9.28593,9.40976,9.41095,9.57618,9.2816,9.93005,9.12384,9.91002,8.95728,9.44334,9.34811,9.39677,10.0194,9.57669,9.35617,9.5253,9.26399,9.44855,9.57648,9.1695,9.18818,9.11457,9.29499,9.44105,9.63844,9.36924,9.19921,9.3906,9.61522,9.67557,9.7325,9.37562,9.463,9.19202,9.26617,9.5089,9.84953,9.78899,9.20532,9.022,9.44241,9.44212,9.55675,9.61388,10.2208,9.6034,9.58845,9.40235
"AARS2",4.62491,4.4753,4.47958,4.5916,4.43317,4.62763,4.47542,4.55929,4.59729,4.34663,4.59283,4.74889,4.50485,4.43932,4.44012,4.31413,4.61363,4.60765,4.6582,4.37062,4.45996,4.47272,4.54444,4.41578,4.66334,4.38802,4.55739,4.42942,4.47602,4.4919,4.45038,4.50167,4.57373,4.46929,4.5516,4.46826,4.44092,4.34284,4.50547,4.47542,4.56428,4.50846,4.30912,4.54668,4.44958,4.35676,4.28239,4.21925,4.45177,4.31249,4.47207,4.51893,4.6034,4.51731,4.17896,4.39146,4.39574,4.46087,4.46617,4.58196,4.32082
"AASDH",6.42491,7.05856,6.65447,6.88896,7.03325,7.18404,7.34661,6.80846,6.99539,6.77024,6.80265,6.64481,6.80846,6.66347,6.72084,6.65552,7.15419,6.72069,6.51507,6.6825,6.44698,6.70797,7.03773,6.40385,7.03887,6.76071,6.35504,6.82895,6.8171,6.59016,6.68761,6.39099,6.80846,6.44497,6.64221,6.84465,6.66233,6.5911,6.22152,6.28001,6.93364,6.79866,7.23575,7.25964,7.10203,6.19982,6.80568,7.34676,6.78749,6.63175,6.78604,6.96666,6.77791,7.44866,6.89428,6.78175,7.36597,6.84887,6.7522,7.02691,7.42161
"AASDHPPT",8.24769,8.22629,8.19708,8.84936,8.56619,8.47096,8.30965,7.94216,7.98635,8.58046,8.16379,8.06302,8.1109,8.24777,8.30747,8.30017,8.41595,8.28246,7.7709,8.20739,8.20679,8.00292,8.28056,8.44624,7.14385,8.59808,8.40305,8.38103,8.46314,8.20085,8.05803,8.30747,8.21375,7.65885,8.35087,8.01224,8.21474,8.35087,8.10934,7.92275,8.29683,8.34899,8.67036,8.60832,8.30639,8.15996,8.51999,8.74347,8.5488,8.37384,8.59706,8.1022,8.3154,8.681,8.5647,8.33664,8.54151,8.33495,8.54914,8.73814,8.249
"AASS",8.07011,8.30893,8.29416,8.42818,8.86263,9.05639,8.15004,7.96147,8.68159,8.40415,8.39507,7.98955,8.30033,8.65218,8.41983,7.87356,8.64298,8.90149,7.67167,9.23197,8.22347,7.45685,8.57347,7.05871,7.52735,8.60628,7.45384,8.26587,8.18253,8.31434,8.30886,7.27537,8.3433,7.7699,7.90142,8.41747,7.84382,7.73899,8.4856,7.54406,8.05017,8.46959,8.61387,8.70369,9.28858,9.02413,8.83735,8.47435,8.48368,8.57268,8.98128,8.91392,7.92485,8.26145,8.78213,9.10961,8.94131,8.99337,8.69897,8.90124,9.01359
"AATF",9.42405,9.86983,9.45266,9.56019,9.34003,9.18506,9.39706,9.05959,9.31022,9.46191,9.47168,9.61233,9.70801,9.43544,9.71324,9.24993,9.21187,9.21759,9.71918,8.93961,9.55328,9.59962,9.55185,9.9404,9.74361,10.1222,9.77994,9.73379,9.01304,9.67443,9.52128,9.94631,9.66953,9.83943,9.31149,9.65413,9.67806,9.48254,9.38252,9.46985,9.45223,9.63262,9.7848,9.74241,9.5709,9.16527,9.96232,9.401,9.73436,9.83195,9.80107,10.0635,9.50858,9.7907,9.63283,9.71004,9.89137,10.0385,9.72519,9.62758,9.86904
"AATK",3.83659,3.7979,3.92832,3.85984,3.79589,3.70429,3.76771,3.97767,3.89533,3.70975,3.80824,3.85396,3.94972,3.77265,3.76101,3.65352,3.73101,3.82107,3.79635,3.76001,3.78644,3.9208,3.69919,3.94037,3.94554,3.766,3.8651,3.74759,3.776,3.67781,3.68714,3.81525,3.80402,3.87924,3.69088,3.78205,3.61384,3.75956,3.78939,3.71184,3.715,3.81666,3.79308,3.79021,3.87869,3.78936,3.78936,3.75886,3.76408,3.76066,3.86849,4.04597,3.79374,3.83179,3.65657,3.78936,3.69279,3.72588,3.74686,3.7809,3.74799
"AATK-AS1",3.50664,3.57756,3.56682,3.62252,3.52024,3.73481,3.44297,3.63301,3.87819,3.55693,3.55771,3.73701,3.60301,3.64157,3.77022,3.59297,3.63872,3.69901,3.85269,3.73142,3.76698,3.76859,3.58873,3.60205,3.85624,3.39347,3.55041,3.45401,3.6782,3.63161,3.62959,3.76257,3.58474,3.83758,3.48972,3.62959,3.38541,3.52025,3.9994,3.77339,3.80934,3.61816,3.34789,3.51308,3.59564,3.50413,3.63502,3.60964,3.75747,3.61884,4.02968,3.69872,3.50354,3.68529,3.70587,3.87891,3.57296,3.31586,3.48637,3.59999,3.45667
"ABAT",7.17325,5.77143,7.38779,7.98061,7.07321,6.95739,7.83864,5.16239,6.55085,8.37811,6.873,6.51396,7.49227,8.00916,7.08758,6.0061,7.16785,8.06302,5.65639,6.84718,8.10684,5.55688,8.75508,7.20515,5.4098,7.66112,6.80634,7.01621,6.77071,5.10392,7.72095,5.94207,7.20517,5.17772,8.90514,5.81622,6.20312,6.26123,7.09796,6.76688,7.47531,7.69568,7.77598,8.27274,8.7931,9.27964,8.91986,8.08218,7.59883,9.18825,7.64423,6.62561,8.19998,8.22215,8.23115,7.32852,7.73583,9.51161,7.85062,8.92337,8.06676
"ABCA1",6.63691,6.66877,5.19225,5.81163,5.45573,5.36766,5.83013,5.24664,5.52257,5.7673,5.32841,5.31649,5.80504,6.22212,5.75775,5.8878,5.52836,6.19451,6.57357,6.11546,6.74987,6.57017,5.66183,6.42333,7.69835,5.6329,7.30335,6.15054,5.31614,7.32321,7.92132,7.00509,7.21919,6.84153,8.05907,6.80469,7.24183,6.94255,5.48453,6.96425,5.6693,5.6214,5.93529,5.72788,6.04231,6.5796,5.95901,5.54944,5.83145,6.45655,6.00061,5.3671,5.96347,6.27967,5.94868,6.14573,6.00875,6.07106,6.29887,6.45569,6.0061
"ABCA10",4.01635,4.07211,4.03536,4.20038,3.81372,3.98093,4.2219,4.01451,4.12989,4.29851,4.10012,3.98526,3.87279,4.04598,4.03514,4.43036,4.06304,4.11101,4.54436,4.28383,4.2909,4.12759,4.2646,3.70553,4.72913,4.04598,3.91752,4.02662,4.04598,4.33362,5.10675,4.16141,4.15168,4.04598,4.90219,4.03123,4.18555,3.79957,4.0431,4.24733,4.0465,3.97076,3.92848,3.94915,3.87822,4.15995,3.99886,3.91679,3.64173,3.97638,3.79577,3.68802,4.16284,4.04598,3.73828,3.90067,3.83273,3.86275,4.04598,3.73961,4.06703
"ABCA12",3.18928,2.96555,2.9637,2.97502,3.06967,2.93224,3.09578,3.1446,3.12919,3.0278,3.22577,3.13371,3.09163,2.963,3.10769,2.94898,3.04028,3.03729,3.33919,3.2215,3.19407,3.42051,3.00529,3.35142,3.20622,3.22905,3.52087,3.11718,3.30481,3.40137,3.38524,3.4516,3.20021,3.11718,3.44791,3.23605,3.40124,3.04882,3.1109,3.25794,3.00251,3.04729,3.15768,3.03703,3.04003,3.10303,2.94667,3.09958,2.96845,3.02454,3.14892,3.03872,3.19936,3.11718,3.11759,3.10959,3.04658,3.00162,3.05374,2.97394,3.1211
"ABCA13",3.35203,3.0708,3.23998,3.20339,3.36651,3.17819,3.26621,3.20723,3.242,3.20805,3.16105,3.23432,3.20979,3.13598,3.27439,3.20723,3.13484,3.15272,3.21403,3.32443,3.15744,3.29803,3.20723,3.21593,3.44177,3.11041,3.20723,3.15846,3.41509,3.12946,3.20723,3.20723,3.08591,3.2125,3.28174,3.20723,3.14515,3.20723,3.21028,3.25012,3.19869,3.22776,3.13323,3.12607,3.18898,3.25483,3.23543,3.19927,3.05794,3.15464,3.22975,3.23303,3.26998,3.19551,3.27603,3.21953,3.20723,3.15612,3.13119,3.18811,3.30182
"ABCA17P",3.02522,3.08771,3.02475,3.08771,3.06765,2.99897,3.06507,3.07598,3.12108,2.99764,3.01373,3.21139,3.08844,3.08125,3.1131,3.10355,3.07555,3.18145,3.21006,3.23551,3.12494,3.08771,3.08771,3.13855,3.03446,3.11672,3.05227,2.94753,3.07004,3.0312,3.05811,3.11393,3.00527,3.00685,3.06419,3.10441,3.11758,2.99603,3.06788,3.2005,3.06851,3.13909,3.07056,3.02668,3.01696,3.15569,3.0208,3.08735,3.20256,2.9989,3.2045,3.06886,3.06231,3.1447,3.21257,3.13411,2.99925,3.08771,3.07732,3.14647,3.2001
